




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
negative regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905447)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905446)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of clathrin coat assembly (GO:1905445)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of clathrin coat assembly (GO:1905443)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle cell differentiation (GO:0051149)	87	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle cell differentiation (GO:0051148)	55	0	.01	-	 < 0.01	1.00E00	1.00E00
retrograde neuronal dense core vesicle transport (GO:1990049)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid hormone secretion (GO:0035929)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of actin phosphorylation (GO:0043538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of muscle cell differentiation (GO:0051147)	154	0	.01	-	 < 0.01	1.00E00	1.00E00
anterograde neuronal dense core vesicle transport (GO:1990048)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA import into mitochondrion (GO:0035928)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel endothelial cell migration (GO:0043537)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
striated muscle cell differentiation (GO:0051146)	202	0	.02	-	 < 0.01	1.00E00	1.00E00
benzylpenicillin metabolic process (GO:1901086)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA import into mitochondrion (GO:0035927)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood vessel endothelial cell migration (GO:0043536)	56	0	.01	-	 < 0.01	1.00E00	1.00E00
smooth muscle cell differentiation (GO:0051145)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
stress-induced mitochondrial fusion (GO:1990046)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
induced systemic resistance (GO:0009682)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 2 secretion (GO:0035926)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of blood vessel endothelial cell migration (GO:0043535)	90	0	.01	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell migration (GO:0043534)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	43	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of NK T cell proliferation (GO:0051142)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of relaxation of smooth muscle (GO:1901082)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of NK T cell proliferation (GO:0051141)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
foramen ovale closure (GO:0035922)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of NK T cell proliferation (GO:0051140)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of relaxation of smooth muscle (GO:1901080)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
desmosome disassembly (GO:0035921)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1905438)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K4 trimethylation (GO:1905437)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K4 trimethylation (GO:1905435)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of retrograde trans-synaptic signaling by neuropeptide (GO:1905433)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde trans-synaptic signaling by neuropeptide (GO:1905432)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of relaxation of muscle (GO:1901079)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to glycine (GO:1905430)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of NK T cell differentiation (GO:0051138)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of relaxation of muscle (GO:1901078)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of relaxation of muscle (GO:1901077)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of NK T cell differentiation (GO:0051136)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of engulfment of apoptotic cell (GO:1901076)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of NK T cell activation (GO:0051135)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion import into sarcoplasmic reticulum (GO:1990036)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron apoptotic process (GO:0043525)	58	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of NK T cell activation (GO:0051134)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of engulfment of apoptotic cell (GO:1901074)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pore formation in membrane of other organism (GO:0035915)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuron apoptotic process (GO:0043524)	152	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of NK T cell activation (GO:0051133)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound biosynthetic process (GO:1901073)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion export across plasma membrane (GO:1990034)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
skeletal muscle cell differentiation (GO:0035914)	54	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neuron apoptotic process (GO:0043523)	216	0	.02	-	 < 0.01	1.00E00	1.00E00
NK T cell activation (GO:0051132)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound catabolic process (GO:1901072)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound metabolic process (GO:1901071)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
dorsal aorta morphogenesis (GO:0035912)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular component organization (GO:0051130)	1226	0	.12	-	 < 0.01	1.00E00	1.00E00
guanosine-containing compound biosynthetic process (GO:1901070)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
ascending aorta morphogenesis (GO:0035910)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription, termination (GO:0031554)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031550)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to glycine (GO:1905429)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation (GO:1905426)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of Wnt-mediated midbrain dopaminergic neuron differentiation (GO:1905424)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network membrane organization (GO:0098629)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular component organization (GO:0051129)	711	0	.07	-	 < 0.01	1.00E00	1.00E00
guanosine-containing compound catabolic process (GO:1901069)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of myosin II filament organization (GO:0043519)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component organization (GO:0051128)	2491	0	.24	-	 < 0.01	1.00E00	1.00E00
guanosine-containing compound metabolic process (GO:1901068)	39	0	.00	-	 < 0.01	1.00E00	1.00E00
vasomotion (GO:1990029)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aorta morphogenesis (GO:0035909)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin nucleation (GO:0051127)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of actin nucleation (GO:0051126)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
dorsal aorta development (GO:0035907)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	39	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of actin nucleation (GO:0051125)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
descending aorta development (GO:0035906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic growth at neuromuscular junction (GO:0051124)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
ascending aorta development (GO:0035905)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
aorta development (GO:0035904)	52	0	.00	-	 < 0.01	1.00E00	1.00E00
hepoxilin biosynthetic process (GO:0051122)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
hepoxilin metabolic process (GO:0051121)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
response to immobilization stress (GO:0035902)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031549)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to isolation stress (GO:0035900)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031548)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
brain-derived neurotrophic factor receptor signaling pathway (GO:0031547)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm flagellum movement involved in flagellated sperm motility (GO:1905419)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of dense core granule exocytosis (GO:1905415)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of dense core granule exocytosis (GO:1905414)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dense core granule exocytosis (GO:1905413)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of JUN kinase activity (GO:0043508)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of JUN kinase activity (GO:0043507)	71	0	.01	-	 < 0.01	1.00E00	1.00E00
anatomical structure morphogenesis (GO:0009653)	2153	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of JUN kinase activity (GO:0043506)	86	0	.01	-	 < 0.01	1.00E00	1.00E00
response to salt stress (GO:0009651)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA repair (GO:0043504)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
sarcosine catabolic process (GO:1901053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UV protection (GO:0009650)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
skeletal muscle fiber adaptation (GO:0043503)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
sarcosine metabolic process (GO:1901052)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of muscle adaptation (GO:0043502)	86	0	.01	-	 < 0.01	1.00E00	1.00E00
skeletal muscle adaptation (GO:0043501)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle adaptation (GO:0043500)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of exit from mitosis (GO:0031536)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
actin cytoskeleton reorganization (GO:0031532)	64	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of creatine transmembrane transporter activity (GO:1905408)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of creatine transmembrane transporter activity (GO:1905407)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic cohesin loading (GO:1905406)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cohesin loading (GO:1905405)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905404)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
entrainment of circadian clock (GO:0009649)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905402)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
photoperiodism (GO:0009648)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion (GO:0098609)	502	0	.05	-	 < 0.01	1.00E00	1.00E00
response to absence of light (GO:0009646)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal cell apoptotic process (GO:1990009)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to low light intensity stimulus (GO:0009645)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA ligation (GO:0051107)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to high light intensity (GO:0009644)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA ligation (GO:0051106)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA ligation (GO:0051105)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
response to light intensity (GO:0009642)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligation involved in DNA repair (GO:0051103)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligation involved in DNA recombination (GO:0051102)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA binding (GO:0051101)	128	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of binding (GO:0051100)	173	0	.02	-	 < 0.01	1.00E00	1.00E00
inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
amyloid fibril formation (GO:1990000)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
ruffle organization (GO:0031529)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
response to blue light (GO:0009637)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to toxic substance (GO:0009636)	520	0	.05	-	 < 0.01	1.00E00	1.00E00
response to herbicide (GO:0009635)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
cold acclimation (GO:0009631)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to reactive oxygen species (GO:1901033)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to reactive oxygen species (GO:1901032)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of response to reactive oxygen species (GO:1901031)	34	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
response to gravity (GO:0009629)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
response to abiotic stimulus (GO:0009628)	1162	0	.11	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum calcium ion transport (GO:0070296)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
renal water absorption (GO:0070295)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	48	0	.00	-	 < 0.01	1.00E00	1.00E00
renal sodium ion absorption (GO:0070294)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to nematode (GO:0009624)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
renal absorption (GO:0070293)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
ripoptosome assembly involved in necroptotic process (GO:1901026)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylethanolamine metabolic process (GO:0070291)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to fungus (GO:0009620)	59	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion transmembrane transporter activity (GO:1901021)	41	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion transmembrane transporter activity (GO:1901020)	41	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric heterochromatin assembly (GO:0031509)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pericentric heterochromatin assembly (GO:0031508)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
heterochromatin assembly (GO:0031507)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
cell wall glycoprotein biosynthetic process (GO:0031506)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-containing complex localization (GO:0031503)	261	0	.02	-	 < 0.01	1.00E00	1.00E00
response to bacterium (GO:0009617)	701	0	.07	-	 < 0.01	1.00E00	1.00E00
axonemal dynein complex assembly (GO:0070286)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transmembrane transporter activity (GO:1901019)	97	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
response to virus (GO:0009615)	287	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of potassium ion transmembrane transporter activity (GO:1901017)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion transmembrane transporter activity (GO:1901016)	59	0	.01	-	 < 0.01	1.00E00	1.00E00
response to mechanical stimulus (GO:0009612)	218	0	.02	-	 < 0.01	1.00E00	1.00E00
response to wounding (GO:0009611)	578	0	.06	-	 < 0.01	1.00E00	1.00E00
intermediate mesodermal cell differentiation (GO:0048392)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intermediate mesoderm formation (GO:0048391)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intermediate mesoderm morphogenesis (GO:0048390)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to symbiotic bacterium (GO:0009609)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent secretion (GO:0070278)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to symbiont (GO:0009608)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte adhesion to arterial endothelial cell (GO:1904999)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to biotic stimulus (GO:0009607)	1353	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte adhesion to arterial endothelial cell (GO:1904998)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte adhesion to arterial endothelial cell (GO:1904997)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to external stimulus (GO:0009605)	2443	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone-6 biosynthetic process (GO:1901006)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone-6 metabolic process (GO:1901004)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of fermentation (GO:1901003)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:1904992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:1904990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of response to salt stress (GO:1901000)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
intermediate mesoderm development (GO:0048389)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endosomal lumen acidification (GO:0048388)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus by host (GO:0050691)	40	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of retinoic acid receptor signaling pathway (GO:0048387)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus by virus (GO:0050690)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of retinoic acid receptor signaling pathway (GO:0048386)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of retinoic acid receptor signaling pathway (GO:0048385)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
retinoic acid receptor signaling pathway (GO:0048384)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
mesendoderm development (GO:0048382)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
pyroptosis (GO:0070269)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
cornification (GO:0070268)	113	0	.01	-	 < 0.01	1.00E00	1.00E00
oncosis (GO:0070267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
necroptotic process (GO:0070266)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
necrotic cell death (GO:0070265)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of quinolinate biosynthetic process (GO:1904985)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine dephosphorylation (GO:0070262)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of quinolinate biosynthetic process (GO:1904984)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine import into mitochondrion (GO:1904983)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of defense response to virus by host (GO:0050689)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of endosome organization (GO:1904980)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus (GO:0050688)	77	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of defense response to virus (GO:0050687)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA processing (GO:0050686)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA processing (GO:0050685)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA processing (GO:0050684)	143	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lateral mesodermal cell fate specification (GO:0048378)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell proliferation (GO:0050680)	128	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral mesodermal cell differentiation (GO:0048371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral mesoderm formation (GO:0048370)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mucus secretion (GO:0070257)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of endosome organization (GO:1904979)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mucus secretion (GO:0070256)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of endosome organization (GO:1904978)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mucus secretion (GO:0070255)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
lymphatic endothelial cell migration (GO:1904977)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mucus secretion (GO:0070254)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to bleomycin (GO:1904976)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
somatostatin secretion (GO:0070253)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to bleomycin (GO:1904975)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
actin-mediated cell contraction (GO:0070252)	88	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral translation (GO:1904973)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of viral translation (GO:1904971)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
brush border assembly (GO:1904970)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of urothelial cell proliferation (GO:0050677)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of urothelial cell proliferation (GO:0050675)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
urothelial cell proliferation (GO:0050674)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation (GO:0050673)	90	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral mesoderm morphogenesis (GO:0048369)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of lymphocyte proliferation (GO:0050672)	79	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral mesoderm development (GO:0048368)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte proliferation (GO:0050671)	135	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	217	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-lysine crotonylation (GO:0120094)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell apoptotic process (GO:0070247)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-lysine crotonylation (GO:0120093)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of thymocyte apoptotic process (GO:0070245)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of thymocyte apoptotic process (GO:0070244)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of thymocyte apoptotic process (GO:0070243)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
thymocyte apoptotic process (GO:0070242)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of activated T cell autonomous cell death (GO:0070241)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytochrome-c oxidase activity (GO:1904960)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of homocysteine metabolic process (GO:0050668)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
homocysteine metabolic process (GO:0050667)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of homocysteine metabolic process (GO:0050666)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide biosynthetic process (GO:0050665)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
cytokine secretion (GO:0050663)	51	0	.00	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm structural organization (GO:0048352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex assembly (GO:0036388)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of activated T cell autonomous cell death (GO:0070239)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cytochrome-c oxidase activity (GO:1904959)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of activation-induced cell death of T cells (GO:0070236)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of midbrain dopaminergic neuron differentiation (GO:1904958)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
