




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
DNA hairpin binding (GO:0032448)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADP) activity (GO:0030267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase [NAD(P)+] activity (GO:0032440)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine binding (GO:0034618)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin binding (GO:0034617)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oligoribonucleotidase activity (GO:0034611)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase inhibitor activity (GO:0030251)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase activator activity (GO:0030250)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
netrin receptor binding (GO:1990890)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA trimethylguanosine synthase activity (GO:0071164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase (NAD+) activity (GO:0034604)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase [NAD(P)+] activity (GO:0034603)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase (NAD+) activity (GO:0034602)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activator activity (GO:0010698)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylgalactosaminidase activity (GO:0032428)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase [NAD(P)+] activity (GO:0034601)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GBD domain binding (GO:0032427)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol 14-demethylase activity (GO:0008398)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol 12-alpha-hydroxylase activity (GO:0008397)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxysterol 7-alpha-hydroxylase activity (GO:0008396)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase regulator activity (GO:0030249)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
purine-rich negative regulatory element binding (GO:0032422)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
steroid hydroxylase activity (GO:0008395)	41	0	.06	-	 < 0.01	1.00E00	1.00E00
polysaccharide binding (GO:0030247)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
H4K20me3 modified histone binding (GO:1990889)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arachidonic acid epoxygenase activity (GO:0008392)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
arachidonic acid monooxygenase activity (GO:0008391)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA cytidine N-acetyltransferase activity (GO:1990883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
coumarin 7-hydroxylase activity (GO:0008389)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid 7-alpha-hydroxylase activity (GO:0008387)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol monooxygenase (side-chain-cleaving) activity (GO:0008386)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase activity (GO:0008384)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase regulator activity (GO:0030235)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
mechanosensitive ion channel activity (GO:0008381)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxynucleotide transmembrane transporter activity (GO:0030233)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
H2A histone acetyltransferase activity (GO:0043998)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K12 specific) (GO:0043997)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K8 specific) (GO:0043996)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K5 specific) (GO:0043995)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H3-K23 specific) (GO:0043994)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate transfer activity (GO:1902388)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate binding (GO:1902387)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex binding (GO:0032408)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex binding (GO:0032407)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLbeta complex binding (GO:0032406)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thioredoxin peroxidase activity (GO:0008379)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex binding (GO:0032405)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
galactosyltransferase activity (GO:0008378)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex binding (GO:0032404)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
acetylgalactosaminyltransferase activity (GO:0008376)	48	0	.08	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor activity (GO:0030229)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylglucosaminyltransferase activity (GO:0008375)	60	0	.09	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor activity (GO:0030228)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
O-acyltransferase activity (GO:0008374)	46	0	.07	-	 < 0.01	1.00E00	1.00E00
sialyltransferase activity (GO:0008373)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
apolipoprotein receptor activity (GO:0030226)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chemoattractant activity involved in axon guidance (GO:1902379)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor binding (GO:0030215)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
promoter-specific chromatin binding (GO:1990841)	49	0	.08	-	 < 0.01	1.00E00	1.00E00
ketosteroid monooxygenase activity (GO:0047086)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
MAP kinase kinase kinase kinase activity (GO:0008349)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin-uncoating ATPase activity (GO:1990833)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine racemase activity (GO:0018114)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-butyrobetaine dioxygenase activity (GO:0008336)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-rich single-stranded DNA binding (GO:1990829)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
low voltage-gated calcium channel activity (GO:0008332)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal myristoylation domain binding (GO:0031997)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
high voltage-gated calcium channel activity (GO:0008331)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
thioesterase binding (GO:0031996)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
protein tyrosine/threonine phosphatase activity (GO:0008330)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor II binding (GO:0031995)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor I binding (GO:0031994)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
sequence-specific mRNA binding (GO:1990825)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
phospholipid-hydroperoxide glutathione peroxidase activity (GO:0047066)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
signaling pattern recognition receptor activity (GO:0008329)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
methyl-CpG binding (GO:0008327)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
Ral guanyl-nucleotide exchange factor activity (GO:0008321)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA adenylyltransferase activity (GO:1990817)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transporter activity (GO:0008320)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA/DNA annealing activity (GO:1990814)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3 iron, 4 sulfur cluster binding (GO:0051538)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
2 iron, 2 sulfur cluster binding (GO:0051537)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
vitamin-K-epoxide reductase (warfarin-insensitive) activity (GO:0047058)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin-K-epoxide reductase (warfarin-sensitive) activity (GO:0047057)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein prenyltransferase activity (GO:0008318)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
7S RNA binding (GO:0008312)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008311)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008310)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 5-kinase activity (GO:0000832)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 6-kinase activity (GO:0000831)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NFAT protein binding (GO:0051525)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
suramin binding (GO:0043924)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
testosterone 17-beta-dehydrogenase (NADP+) activity (GO:0047045)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
androstan-3-alpha,17-beta-diol dehydrogenase activity (GO:0047044)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
androsterone dehydrogenase (B-specific) activity (GO:0047042)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA exodeoxyribonuclease activity (GO:0008309)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated anion channel activity (GO:0008308)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
structural constituent of muscle (GO:0008307)	44	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol heptakisphosphate kinase activity (GO:0000829)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate kinase activity (GO:0000828)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5,6-pentakisphosphate kinase activity (GO:0000827)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 6-kinase activity (GO:0000825)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mineralocorticoid receptor binding (GO:0031962)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 3-kinase activity (GO:0000824)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 6-kinase activity (GO:0000823)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate binding (GO:0000822)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-7-methylguanine glycosylase activity (GO:0043916)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase regulator activity (GO:0019888)	82	0	.13	-	 < 0.01	1.00E00	1.00E00
NADPH:sulfur oxidoreductase activity (GO:0043914)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase (NAD+) activity (GO:0047035)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
type II activin receptor binding (GO:0070699)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
type I activin receptor binding (GO:0070698)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
activin receptor binding (GO:0070697)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside 5'-monophosphate N-glycosidase activity (GO:0070694)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid-CoA ligase activity (GO:0031957)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid-CoA ligase activity (GO:0031956)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
D-tyrosyl-tRNA(Tyr) deacylase activity (GO:0051500)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity (GO:0047025)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
5alpha-androstane-3beta,17beta-diol dehydrogenase activity (GO:0047024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium channel inhibitor activity (GO:0019871)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
androsterone dehydrogenase activity (GO:0047023)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium channel inhibitor activity (GO:0019870)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin dehydrogenase (NADP+) activity (GO:0047021)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity (GO:0047020)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylated histone binding (GO:0035064)	67	0	.11	-	 < 0.01	1.00E00	1.00E00
chloride channel inhibitor activity (GO:0019869)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
immunoglobulin binding (GO:0019865)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
prostaglandin-F synthase activity (GO:0047017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
IgG binding (GO:0019864)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity (GO:0047016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgE binding (GO:0019863)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity (GO:0047015)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgA binding (GO:0019862)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5 trisphosphate binding (GO:0070679)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
preprotein binding (GO:0070678)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity (GO:0047012)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium channel inhibitor activity (GO:0019855)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity (GO:0047006)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
formate transmembrane transporter activity (GO:0015499)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid:proton symporter activity (GO:0015495)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cation:cation antiporter activity (GO:0015491)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
rRNA binding (GO:0019843)	62	0	.10	-	 < 0.01	1.00E00	1.00E00
vitamin binding (GO:0019842)	141	0	.22	-	 < 0.01	1.00E00	1.00E00
retinol binding (GO:0019841)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
isoprenoid binding (GO:0019840)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor binding (GO:0070653)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine transmembrane transporter activity (GO:0015489)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol binding (GO:0015485)	49	0	.08	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase binding (GO:0035035)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase regulator activity (GO:0035034)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase regulator activity (GO:0035033)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
growth factor binding (GO:0019838)	141	0	.22	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 inhibitor activity (GO:0019834)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin D response element binding (GO:0070644)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin D 25-hydroxylase activity (GO:0070643)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled cation transmembrane transporter activity (GO:0019829)	54	0	.08	-	 < 0.01	1.00E00	1.00E00
aspartic-type endopeptidase inhibitor activity (GO:0019828)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oxygen sensor activity (GO:0019826)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxygen binding (GO:0019825)	35	0	.06	-	 < 0.01	1.00E00	1.00E00
G-protein activated inward rectifier potassium channel activity (GO:0015467)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor activity (GO:0015464)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase regulator activity (GO:0035014)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
cocaine binding (GO:0019811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine binding (GO:0019810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity (GO:0070626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myristoyl-CoA hydrolase activity (GO:0102991)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium channel regulator activity (GO:0015459)	53	0	.08	-	 < 0.01	1.00E00	1.00E00
polyamine oxidase activity (GO:0046592)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-P-bond-hydrolysis-driven protein transmembrane transporter activity (GO:0015450)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase activity (GO:0035004)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
spermidine binding (GO:0019809)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine binding (GO:0019808)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartoacylase activity (GO:0019807)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bromide peroxidase activity (GO:0019806)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-induced calcium release activity (GO:0048763)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleosome-dependent ATPase activity (GO:0070615)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H2A-R3 specific) (GO:0070612)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-R2 specific) (GO:0070611)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled peptide transmembrane transporter activity (GO:0015440)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain-alcohol oxidase activity (GO:0046577)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled heme transmembrane transporter activity (GO:0015439)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactonohydrolase activity (GO:0046573)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein binding, via antigen binding groove (GO:0023030)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled peptide antigen transmembrane transporter activity (GO:0015433)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
methylthioribulose 1-phosphate dehydratase activity (GO:0046570)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled bile acid transmembrane transporter activity (GO:0015432)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled glutathione S-conjugate transmembrane transporter activity (GO:0015431)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
arachidoyl-CoA:1-dodecanol O-acyltransferase activity (GO:0102966)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol-forming fatty acyl-CoA reductase activity (GO:0102965)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein binding (GO:0023029)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex binding (GO:0023026)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex binding (GO:0023025)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex binding (GO:0023024)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC protein complex binding (GO:0023023)	25	0	.04	-	 < 0.01	1.00E00	1.00E00
small protein activating enzyme binding (GO:0044388)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled vitamin B12 transmembrane transporter activity (GO:0015420)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hypoglycin A gamma-glutamyl transpeptidase activity (GO:0102953)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
histone succinyltransferase activity (GO:0106078)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-L-arabinofuranosidase activity (GO:0046556)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide N-succinyltransferase activity (GO:0106075)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (NADP+) activity (GO:0046554)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity (GO:0106073)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
non-sequence-specific DNA binding, bending (GO:0044378)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II proximal promoter sequence-specific DNA binding, bending (GO:0044377)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
flavonoid binding (GO:0097243)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
manganese transmembrane transporter activity, phosphorylative mechanism (GO:0015410)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sequence-specific DNA binding, bending (GO:0044374)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity (GO:0034597)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol trisphosphate phosphatase activity (GO:0034594)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol bisphosphate phosphatase activity (GO:0034593)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
L-hydroxyproline transmembrane transporter activity (GO:0034590)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
piRNA binding (GO:0034584)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
orcinol O-methyltransferase activity (GO:0102938)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histamine N-methyltransferase activity (GO:0046539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity (GO:0046538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA 2'-O-methyltransferase activity (GO:0106050)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid acyltransferase activity (GO:0042171)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
HECT domain binding (GO:0032399)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
activating MHC class I receptor activity (GO:0032397)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inhibitory MHC class I receptor activity (GO:0032396)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class II receptor activity (GO:0032395)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
MHC class Ib receptor activity (GO:0032394)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I receptor activity (GO:0032393)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosyltransferase activity (GO:0046527)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
D-xylulose reductase activity (GO:0046526)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xylosylprotein 4-beta-galactosyltransferase activity (GO:0046525)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioribose-1-phosphate isomerase activity (GO:0046523)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SH2 domain binding (GO:0042169)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
acetylcholine binding (GO:0042166)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotransmitter binding (GO:0042165)	58	0	.09	-	 < 0.01	1.00E00	1.00E00
interleukin-12 alpha subunit binding (GO:0042164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-12 beta subunit binding (GO:0042163)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric DNA binding (GO:0042162)	38	0	.06	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine synthase activity (GO:0106029)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent, lubricant activity (GO:0030197)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
retinoic acid-responsive element binding (GO:0044323)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
fumarylpyruvate hydrolase activity (GO:0034545)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate phosphatase activity (GO:0106019)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription corepressor binding (GO:0001226)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate phosphatase activity (GO:0106017)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription coactivator binding (GO:0001225)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription cofactor binding (GO:0001224)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription coactivator binding (GO:0001223)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription corepressor binding (GO:0001222)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription cofactor binding (GO:0001221)	45	0	.07	-	 < 0.01	1.00E00	1.00E00
nitric oxide transmembrane transporter activity (GO:0030184)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA primary transcript binding (GO:0042134)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
