




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Synthesis of PC (R-HSA-1483191)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Sema4D in semaphorin signaling (R-HSA-400685)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
AKT-mediated inactivation of FOXO1A (R-HSA-211163)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Metabolism of fat-soluble vitamins (R-HSA-6806667)	48	0	.25	-	 < 0.01	1.00E00	1.00E00
Rhesus glycoproteins mediate ammonium transport. (R-HSA-444411)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
PDE3B signalling (R-HSA-165160)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Metabolism of vitamin K (R-HSA-6806664)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (R-HSA-983695)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
ABC transporters in lipid homeostasis (R-HSA-1369062)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Digestion of dietary lipid (R-HSA-192456)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Organic cation transport (R-HSA-549127)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Nonsense-Mediated Decay (NMD) (R-HSA-927802)	115	0	.60	-	 < 0.01	1.00E00	1.00E00
G1/S-Specific Transcription (R-HSA-69205)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Scavenging of heme from plasma (R-HSA-2168880)	74	0	.39	-	 < 0.01	1.00E00	1.00E00
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes (R-HSA-69200)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Synthesis And Processing Of GAG, GAGPOL Polyproteins (R-HSA-174495)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
mTOR signalling (R-HSA-165159)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Activation of AKT2 (R-HSA-165158)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Transcriptional activation of p53 responsive genes   (R-HSA-69560)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Membrane binding and targetting of GAG proteins (R-HSA-174490)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4) (R-HSA-5688890)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
VEGFA-VEGFR2 Pathway (R-HSA-4420097)	95	0	.50	-	 < 0.01	1.00E00	1.00E00
Regulation of Complement cascade (R-HSA-977606)	110	0	.58	-	 < 0.01	1.00E00	1.00E00
Erythrocytes take up carbon dioxide and release oxygen (R-HSA-1237044)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Keratinization (R-HSA-6805567)	217	0	1.14	-	 < 0.01	6.33E-01	1.00E00
Sulfur amino acid metabolism (R-HSA-1614635)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD) (R-HSA-5579032)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD) (R-HSA-5579031)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP19A1 causes Aromatase excess syndrome (AEXS) (R-HSA-5579030)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest (R-HSA-6804116)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain (R-HSA-6804115)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest (R-HSA-6804114)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Endosomal Sorting Complex Required For Transport (ESCRT) (R-HSA-917729)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Assembly of collagen fibrils and other multimeric structures (R-HSA-2022090)	60	0	.31	-	 < 0.01	1.00E00	1.00E00
Ketone body metabolism (R-HSA-74182)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective MPDU1 causes MPDU1-CDG (CDG-1f) (R-HSA-4687000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Conjugation of carboxylic acids (R-HSA-159424)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Removal of aminoterminal propeptides from gamma-carboxylated proteins (R-HSA-159782)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Cell-Cell communication (R-HSA-1500931)	127	0	.67	-	 < 0.01	1.00E00	1.00E00
Metabolic disorders of biological oxidation enzymes (R-HSA-5579029)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Integration of viral DNA into host genomic DNA (R-HSA-175567)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5) (R-HSA-5579028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B) (R-HSA-5579027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Chondroitin sulfate/dermatan sulfate metabolism (R-HSA-1793185)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR) (R-HSA-5579026)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD) (R-HSA-5579024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Neurodegenerative Diseases (R-HSA-8863678)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Defective GGT1 causes Glutathionuria (GLUTH) (R-HSA-5579022)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3) (R-HSA-5579021)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD) (R-HSA-5579020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-glycan trimming in the ER and Calnexin/Calreticulin cycle (R-HSA-532668)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Interleukin-6 family signaling (R-HSA-6783589)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Interleukin-20 family signaling (R-HSA-8854691)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1 (R-HSA-1362300)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Recycling of bile acids and salts (R-HSA-159418)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
RHO GTPases activate IQGAPs (R-HSA-5626467)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Dual Incision in GG-NER (R-HSA-5696400)	41	0	.21	-	 < 0.01	1.00E00	1.00E00
Role of LAT2/NTAL/LAB on calcium mobilization (R-HSA-2730905)	75	0	.39	-	 < 0.01	1.00E00	1.00E00
Intrinsic Pathway for Apoptosis (R-HSA-109606)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
Interleukin-18 signaling (R-HSA-9012546)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Dual incision in TC-NER (R-HSA-6782135)	65	0	.34	-	 < 0.01	1.00E00	1.00E00
Platelet sensitization by LDL (R-HSA-432142)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Defective FMO3 causes Trimethylaminuria (TMAU) (R-HSA-5579019)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Pre-NOTCH Processing in the Endoplasmic Reticulum (R-HSA-1912399)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4) (R-HSA-5579017)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective UGT1A4 causes hyperbilirubinemia (R-HSA-5579016)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA) (R-HSA-5579015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Role of second messengers in netrin-1 signaling (R-HSA-418890)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion (R-HSA-434316)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A) (R-HSA-5579014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3) (R-HSA-5579013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective MAOA causes Brunner syndrome (BRUNS) (R-HSA-5579012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56) (R-HSA-5579011)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP24A1 causes Hypercalcemia, infantile (HCAI) (R-HSA-5579010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Chromatin modifying enzymes (R-HSA-3247509)	241	0	1.26	-	 < 0.01	6.40E-01	1.00E00
Transcriptional  activation of  cell cycle inhibitor p21  (R-HSA-69895)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Hydrolysis of LPE (R-HSA-1483152)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Transcriptional Regulation by E2F6 (R-HSA-8953750)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
Peroxisomal lipid metabolism (R-HSA-390918)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Pentose phosphate pathway disease (R-HSA-6791465)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
FGFR1 ligand binding and activation (R-HSA-190242)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Synthesis of 12-eicosatetraenoic acid derivatives (R-HSA-2142712)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P (R-HSA-6791462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
via Dependence Receptors in the absence of ligand (R-HSA-418889)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
FGFR2 ligand binding and activation (R-HSA-190241)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
RPIA deficiency: failed conversion of RU5P to R5P (R-HSA-6791461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Digestion of dietary carbohydrate (R-HSA-189085)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus (R-HSA-159763)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Netrin mediated repulsion signals (R-HSA-418886)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
DCC mediated attractive signaling (R-HSA-418885)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency) (R-HSA-5579009)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective ACY1 causes encephalopathy (R-HSA-5579007)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of anterior HOX genes in hindbrain development during early embryogenesis (R-HSA-5617472)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
Defective GSS causes Glutathione synthetase deficiency (GSS deficiency) (R-HSA-5579006)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5) (R-HSA-5579005)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mTORC1-mediated signalling (R-HSA-166208)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4) (R-HSA-5579004)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TGFBR2 Kinase Domain Mutants in Cancer (R-HSA-3645790)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Cysteine formation from homocysteine (R-HSA-1614603)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective UGT1A1 causes hyperbilirubinemia (R-HSA-5579002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of PG (R-HSA-1483148)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Intestinal infectious diseases (R-HSA-8942233)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP1B1 causes Glaucoma (R-HSA-5579000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TFAP2 (AP-2) family regulates transcription of cell cycle factors (R-HSA-8866911)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors (R-HSA-8866910)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase III Transcription (R-HSA-74158)	41	0	.21	-	 < 0.01	1.00E00	1.00E00
Reproduction (R-HSA-1474165)	112	0	.59	-	 < 0.01	1.00E00	1.00E00
FGFR3 ligand binding and activation (R-HSA-190239)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
RAB geranylgeranylation (R-HSA-8873719)	65	0	.34	-	 < 0.01	1.00E00	1.00E00
TICAM1-dependent activation of IRF3/IRF7 (R-HSA-9013973)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH2 (R-HSA-1980145)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
PLC beta mediated events (R-HSA-112043)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
G-protein mediated events (R-HSA-112040)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
Synthesis of Lipoxins (LX) (R-HSA-2142700)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Metabolism of nitric oxide (R-HSA-202131)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Selenocysteine synthesis (R-HSA-2408557)	93	0	.49	-	 < 0.01	1.00E00	1.00E00
Protein ubiquitination (R-HSA-8852135)	74	0	.39	-	 < 0.01	1.00E00	1.00E00
Activation of the TFAP2 (AP-2) family of transcription factors (R-HSA-8866907)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia (R-HSA-5678420)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TFAP2 (AP-2) family regulates transcription of other transcription factors (R-HSA-8866906)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Methylation of MeSeH for excretion (R-HSA-2408552)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Negative regulation of activity of TFAP2 (AP-2) family transcription factors (R-HSA-8866904)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se (R-HSA-2408550)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RHO GTPases Activate Rhotekin and Rhophilins (R-HSA-5666185)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Defects in biotin (Btn) metabolism (R-HSA-3323169)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5) (R-HSA-5688849)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Telomere Maintenance (R-HSA-157579)	63	0	.33	-	 < 0.01	1.00E00	1.00E00
Thromboxane signalling through TP receptor (R-HSA-428930)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation (R-HSA-1474151)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Mitochondrial ABC transporters (R-HSA-1369007)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
SLIT2:ROBO1 increases RHOA activity (R-HSA-8985586)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Glycogen synthesis (R-HSA-3322077)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Unwinding of DNA (R-HSA-176974)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
PKA activation in glucagon signalling (R-HSA-164378)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Gamma-carboxylation of protein precursors (R-HSA-159740)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Melanin biosynthesis (R-HSA-5662702)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1 (R-HSA-5678771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Removal of the Flap Intermediate from the C-strand (R-HSA-174437)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS) (R-HSA-5633231)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Mitochondrial transcription initiation (R-HSA-163282)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
TLR3-mediated TICAM1-dependent programmed cell death (R-HSA-9013957)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Response to metal ions (R-HSA-5660526)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Telomere C-strand synthesis initiation (R-HSA-174430)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Clathrin-mediated endocytosis (R-HSA-8856828)	138	0	.72	-	 < 0.01	1.00E00	1.00E00
Defective SLC7A9 causes cystinuria (CSNU) (R-HSA-5660883)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Cargo recognition for clathrin-mediated endocytosis (R-HSA-8856825)	98	0	.51	-	 < 0.01	1.00E00	1.00E00
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway (R-HSA-5676594)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Glycerophospholipid catabolism (R-HSA-6814848)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Formation of RNA Pol II elongation complex  (R-HSA-112382)	61	0	.32	-	 < 0.01	1.00E00	1.00E00
Meiotic synapsis (R-HSA-1221632)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
Choline catabolism (R-HSA-6798163)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Hydrolysis of LPC (R-HSA-1483115)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Regulation of gap junction activity (R-HSA-191650)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Caspase-mediated cleavage of cytoskeletal proteins (R-HSA-264870)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DHA-derived sulfido conjugates (R-HSA-9026395)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective ALG8 causes ALG8-CDG (CDG-1h) (R-HSA-4724325)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MET Receptor Activation (R-HSA-6806942)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
ADP signalling through P2Y purinoceptor 12 (R-HSA-392170)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH3 (R-HSA-9012852)	48	0	.25	-	 < 0.01	1.00E00	1.00E00
Glycogen storage disease type 0 (liver GYS2) (R-HSA-3858516)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Myoclonic epilepsy of Lafora (R-HSA-3785653)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Cell death signalling via NRAGE, NRIF and NADE (R-HSA-204998)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
Dissolution of Fibrin Clot (R-HSA-75205)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Selenoamino acid metabolism (R-HSA-2408522)	116	0	.61	-	 < 0.01	1.00E00	1.00E00
Interleukin-6 signaling (R-HSA-1059683)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Synthesis of IPs in the nucleus (R-HSA-1855191)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Metalloprotease DUBs (R-HSA-5689901)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
c-src mediated regulation of Cx43 function and closure of gap junctions (R-HSA-191647)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Telomere C-strand (Lagging Strand) Synthesis (R-HSA-174417)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Synthesis of PS (R-HSA-1483101)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Processive synthesis on the C-strand of the telomere (R-HSA-174414)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Signaling by NTRKs (R-HSA-166520)	97	0	.51	-	 < 0.01	1.00E00	1.00E00
Cargo concentration in the ER (R-HSA-5694530)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Downregulation of SMAD2/3:SMAD4 transcriptional activity (R-HSA-2173795)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Polymerase switching on the C-strand of the telomere (R-HSA-174411)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition) (R-HSA-2173791)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Activity through Methylation (R-HSA-6804760)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B (R-HSA-5682294)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC7A7 causes lysinuric protein intolerance (LPI) (R-HSA-5660862)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SeMet incorporation into proteins (R-HSA-2408517)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Hypusine synthesis from eIF5A-lysine (R-HSA-204626)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective ALG11 causes ALG11-CDG (CDG-1p) (R-HSA-4551295)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of IP2, IP, and Ins in the cytosol (R-HSA-1855183)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Regulation of necroptotic cell death (R-HSA-5675482)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Metabolism of Angiotensinogen to Angiotensins (R-HSA-2022377)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Activity through Association with Co-factors (R-HSA-6804759)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
TGF-beta receptor signaling activates SMADs (R-HSA-2173789)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Activity through Acetylation (R-HSA-6804758)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7) (R-HSA-5683371)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Downregulation of TGF-beta receptor signaling (R-HSA-2173788)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Degradation (R-HSA-6804757)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Condensation of Prophase Chromosomes (R-HSA-2299718)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Activity through Phosphorylation (R-HSA-6804756)	92	0	.48	-	 < 0.01	1.00E00	1.00E00
Glutathione synthesis and recycling (R-HSA-174403)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Expression (R-HSA-6804754)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RUNX3 Regulates Immune Response and Cell Migration (R-HSA-8949275)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Binding and Uptake of Ligands by Scavenger Receptors (R-HSA-2173782)	102	0	.53	-	 < 0.01	1.00E00	1.00E00
Synthesis of bile acids and bile salts via 27-hydroxycholesterol (R-HSA-193807)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Nitric oxide stimulates guanylate cyclase (R-HSA-392154)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
A tetrasaccharide linker sequence is required for GAG synthesis (R-HSA-1971475)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
PI5P Regulates TP53 Acetylation (R-HSA-6811555)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Interleukin-37 signaling (R-HSA-9008059)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Hormone ligand-binding receptors (R-HSA-375281)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Metabolism of ingested SeMet, Sec, MeSec into H2Se (R-HSA-2408508)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Amine ligand-binding receptors (R-HSA-375280)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
Mitochondrial translation termination (R-HSA-5419276)	88	0	.46	-	 < 0.01	1.00E00	1.00E00
SHC1 events in ERBB2 signaling (R-HSA-1250196)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Electron transport from NADPH to Ferredoxin (R-HSA-2395516)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
t(4;14) translocations of FGFR3 (R-HSA-2033515)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Sodium/Proton exchangers (R-HSA-425986)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
FGFR3 mutant receptor activation (R-HSA-2033514)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
YAP1- and WWTR1 (TAZ)-stimulated gene expression (R-HSA-2032785)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Generation of second messenger molecules (R-HSA-202433)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
Translocation of ZAP-70 to Immunological synapse (R-HSA-202430)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Cell-cell junction organization (R-HSA-421270)	64	0	.34	-	 < 0.01	1.00E00	1.00E00
Disinhibition of SNARE formation (R-HSA-114516)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Synthesis of pyrophosphates in the cytosol (R-HSA-1855167)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Plasmalogen biosynthesis (R-HSA-75896)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Calnexin/calreticulin cycle (R-HSA-901042)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
TNF signaling (R-HSA-75893)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Unblocking of NMDA receptor, glutamate binding and activation (R-HSA-438066)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Post NMDA receptor activation events (R-HSA-438064)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
NTF4 activates NTRK2 (TRKB) signaling (R-HSA-9026357)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Phosphorylation of CD3 and TCR zeta chains (R-HSA-202427)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Phenylalanine and tyrosine catabolism (R-HSA-71182)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
ROBO receptors bind AKAP5 (R-HSA-9010642)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Trafficking of GluR2-containing AMPA receptors (R-HSA-416993)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Activated NTRK3 signals through PI3K (R-HSA-9603381)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Formation of the Early Elongation Complex (R-HSA-113418)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Regulation of signaling by NODAL (R-HSA-1433617)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
