




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
cell trailing edge membrane (GO:0031257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome storage granule (GO:0034515)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cell trailing edge (GO:0031254)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endoplasmic reticulum membrane (GO:0042406)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
uropod (GO:0001931)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear inclusion body (GO:0042405)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
interfibrillar mitochondrion (GO:1990844)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PAN complex (GO:0031251)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GPI-anchor transamidase complex (GO:0042765)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
subsarcolemmal mitochondrion (GO:1990843)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell PML body (GO:0075341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell receptor complex (GO:0019815)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex (GO:0019814)	175	0	.92	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric core domain (GO:0034506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lysosomal matrix (GO:1990836)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
ER ubiquitin ligase complex (GO:0000835)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment (GO:0001917)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
intrinsic component of the cytoplasmic side of the plasma membrane (GO:0031235)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
intrinsic component of external side of plasma membrane (GO:0031233)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
nuclear proteasome complex (GO:0031595)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of external side of plasma membrane (GO:0031232)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
neuromuscular junction (GO:0031594)	80	0	.42	-	 < 0.01	1.00E00	1.00E00
intrinsic component of peroxisomal membrane (GO:0031231)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
centrosomal corona (GO:0031592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase 5 complex (GO:0016533)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
COPI-coated Golgi to ER transport vesicle (GO:0030142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle (GO:0030140)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
angiogenin-PRI complex (GO:0032311)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP reductase complex (GO:1902560)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of nuclear inner membrane (GO:0031229)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
intrinsic component of Golgi membrane (GO:0031228)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear MIS12/MIND complex (GO:0000818)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
growth cone filopodium (GO:1990812)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle (GO:0030139)	326	0	1.71	-	 < 0.01	4.21E-01	1.00E00
ESCRT III complex (GO:0000815)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle (GO:0030137)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
ESCRT II complex (GO:0000814)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-coated vesicle (GO:0030136)	191	0	1.00	-	 < 0.01	6.29E-01	1.00E00
ESCRT I complex (GO:0000813)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
coated vesicle (GO:0030135)	297	0	1.56	-	 < 0.01	4.12E-01	1.00E00
Swr1 complex (GO:0000812)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	98	0	.51	-	 < 0.01	1.00E00	1.00E00
GINS complex (GO:0000811)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin coat of coated pit (GO:0030132)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor complex (GO:0030131)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
clathrin coat of trans-Golgi network vesicle (GO:0030130)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
endoribonuclease complex (GO:1902555)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
serine/threonine protein kinase complex (GO:1902554)	86	0	.45	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex (GO:0032302)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex (GO:0032301)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex (GO:0032300)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
tertiary granule lumen (GO:1904724)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
RSF complex (GO:0031213)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum palmitoyltransferase complex (GO:0031211)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
origin recognition complex (GO:0000808)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Y chromosome (GO:0000806)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin coat of endocytic vesicle (GO:0030128)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
X chromosome (GO:0000805)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coat (GO:0030127)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
mitochondrial inner membrane peptidase complex (GO:0042720)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CHRAC (GO:0008623)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
COPI vesicle coat (GO:0030126)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
sex chromosome (GO:0000803)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
epsilon DNA polymerase complex (GO:0008622)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin vesicle coat (GO:0030125)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
transverse filament (GO:0000802)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
AP-4 adaptor complex (GO:0030124)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
central element (GO:0000801)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
SWI/SNF complex (GO:0016514)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
smooth muscle contractile fiber (GO:0030485)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral element (GO:0000800)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
core-binding factor complex (GO:0016513)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
AP-2 adaptor complex (GO:0030122)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex (GO:0030121)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle coat (GO:0030120)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
SCAR complex (GO:0031209)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Sec62/Sec63 complex (GO:0031207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum Sec complex (GO:0031205)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space protein transporter complex (GO:0042719)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
SNARE complex (GO:0031201)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
clathrin coat (GO:0030118)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
actin cortical patch (GO:0030479)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin cap (GO:0030478)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
caveolar macromolecular signaling complex (GO:0002095)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor distal connecting cilium (GO:0120206)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor outer segment (GO:0120200)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
type III intermediate filament (GO:0045098)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
keratin filament (GO:0045095)	101	0	.53	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor complex (GO:0045092)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GO:0042709)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TRC complex (GO:0072380)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
outer acrosomal membrane (GO:0002081)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
acrosomal membrane (GO:0002080)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Fc-epsilon receptor I complex (GO:0032998)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Fc receptor complex (GO:0032997)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Bcl3-Bcl10 complex (GO:0032996)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex (GO:0032994)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Scc2-Scc4 cohesin loading complex (GO:0090694)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ER membrane insertion complex (GO:0072379)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
inner acrosomal membrane (GO:0002079)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
telomerase holoenzyme complex (GO:0005697)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
U6atac snRNP (GO:0005691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U4atac snRNP (GO:0005690)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
kainate selective glutamate receptor complex (GO:0032983)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin filament (GO:0032982)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor complex (GO:0070195)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CNTFR-CLCF1 complex (GO:0097059)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CRLF-CLCF1 complex (GO:0097058)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAF2-GSTP1 complex (GO:0097057)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cap methyltransferase complex (GO:0031533)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
U12-type spliceosomal complex (GO:0005689)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
U6 snRNP (GO:0005688)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
U4 snRNP (GO:0005687)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
U2 snRNP (GO:0005686)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
U1 snRNP (GO:0005685)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
U2-type spliceosomal complex (GO:0005684)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
U7 snRNP (GO:0005683)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
U5 snRNP (GO:0005682)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	189	0	.99	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex (GO:0005680)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
ciliary pocket membrane (GO:0020018)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
shelterin complex (GO:0070187)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
ciliary pocket (GO:0020016)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
microvillus membrane (GO:0031528)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
filopodium membrane (GO:0031527)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
brush border membrane (GO:0031526)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
Myb complex (GO:0031523)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
PTW/PP1 phosphatase complex (GO:0072357)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
chromatin silencing complex (GO:0005677)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIF complex (GO:0005674)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
striated muscle dense body (GO:0055120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIE complex (GO:0005673)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIA complex (GO:0005672)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Ada2/Gcn5/Ada3 transcription activator complex (GO:0005671)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
host cell cytoplasm (GO:0030430)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton (GO:0099571)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
glycoprotein complex (GO:0090665)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
DRM complex (GO:0070176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
symbiont-containing vacuole membrane (GO:0020005)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
PcG protein complex (GO:0031519)	48	0	.25	-	 < 0.01	1.00E00	1.00E00
symbiont-containing vacuole (GO:0020003)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
box H/ACA telomerase RNP complex (GO:0090661)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
tRNA (m1A) methyltransferase complex (GO:0031515)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
motile cilium (GO:0031514)	182	0	.95	-	 < 0.01	1.00E00	1.00E00
Mis6-Sim4 complex (GO:0031511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMO activating enzyme complex (GO:0031510)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIID complex (GO:0005669)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
RNA polymerase transcription factor SL1 complex (GO:0005668)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton (GO:0099569)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III complex (GO:0005666)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, core complex (GO:0005665)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA replication factor C complex (GO:0005663)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA replication factor A complex (GO:0005662)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
translocon complex (GO:0071256)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
cone matrix sheath (GO:0090658)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
apical cytoplasm (GO:0090651)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
tight junction (GO:0070160)	130	0	.68	-	 < 0.01	1.00E00	1.00E00
MPP7-DLG1-LIN7 complex (GO:0097025)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
glial cell projection (GO:0097386)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase complex (GO:0031501)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha DNA polymerase:primase complex (GO:0005658)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
photoreceptor disc membrane (GO:0097381)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
replication fork (GO:0005657)	73	0	.38	-	 < 0.01	1.00E00	1.00E00
nuclear pre-replicative complex (GO:0005656)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleolar ribonuclease P complex (GO:0005655)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear lamina (GO:0005652)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
kinocilium (GO:0060091)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
slit diaphragm (GO:0036057)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm (GO:0036056)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
glomerular endothelium fenestra (GO:0036053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA-activating protein complex (GO:0019185)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle lumen (GO:0097013)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic spindle (GO:0072687)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
mitotic spindle (GO:0072686)	123	0	.64	-	 < 0.01	1.00E00	1.00E00
nuclear pore (GO:0005643)	92	0	.48	-	 < 0.01	1.00E00	1.00E00
annulate lamellae (GO:0005642)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
perisynaptic space (GO:0099544)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear envelope lumen (GO:0005641)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear outer membrane (GO:0005640)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Nem1-Spo7 phosphatase complex (GO:0071595)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP-Insig complex (GO:0032937)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
inner dense plaque of desmosome (GO:0090637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
outer dense plaque of desmosome (GO:0090636)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial degradosome (GO:0045025)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cell body membrane (GO:0044298)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
integral component of nuclear inner membrane (GO:0005639)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
MCM8-MCM9 complex (GO:0097362)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
axonal growth cone (GO:0044295)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
lamin filament (GO:0005638)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
CIA complex (GO:0097361)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
dendritic growth cone (GO:0044294)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane (GO:0005637)	62	0	.32	-	 < 0.01	1.00E00	1.00E00
dendrite terminus (GO:0044292)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
cell-cell contact zone (GO:0044291)	75	0	.39	-	 < 0.01	1.00E00	1.00E00
inhibitory synapse (GO:0060077)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
synapse-associated extracellular matrix (GO:0099535)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
MKS complex (GO:0036038)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
haptoglobin-hemoglobin complex (GO:0031838)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
TCR signalosome (GO:0036398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
perinucleolar compartment (GO:0097356)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-splicing ligase complex (GO:0072669)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-plasma kallikrein complex (GO:0036030)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista junction (GO:0044284)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TOR complex (GO:0038201)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytosol (GO:0099524)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
dendritic shaft (GO:0043198)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
presynaptic cytosol (GO:0099523)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
dendritic spine (GO:0043197)	168	0	.88	-	 < 0.01	1.00E00	1.00E00
region of cytosol (GO:0099522)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
varicosity (GO:0043196)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
terminal bouton (GO:0043195)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
integral component of external side of plasma membrane (GO:0071575)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic spindle pole (GO:0090619)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chitosome (GO:0045009)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
outer mitochondrial membrane protein complex (GO:0098799)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
ATP-binding cassette (ABC) transporter complex (GO:0043190)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-KLK3 complex (GO:0036029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-thrombin complex (GO:0036028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid transport complex (GO:1990184)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-PLAU complex (GO:0036027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-PLAT complex (GO:0036026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-TMPRSS11E complex (GO:0036025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex (GO:0036387)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-TMPRSS7 complex (GO:0036024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
INO80-type complex (GO:0097346)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
endolysosome lumen (GO:0036021)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Rix1 complex (GO:0097344)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endolysosome membrane (GO:0036020)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
ripoptosome (GO:0097342)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
interstitial matrix (GO:0005614)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
laminin-5 complex (GO:0005610)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase complex (GO:0005971)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
neurofilament cytoskeleton (GO:0060053)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
P granule (GO:0043186)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
histone pre-mRNA 3'end processing complex (GO:0071204)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
WASH complex (GO:0071203)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
nBAF complex (GO:0071565)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
npBAF complex (GO:0071564)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleus-vacuole junction (GO:0071561)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endolysosome (GO:0036019)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor complex (GO:1904090)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
myofilament (GO:0036379)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
exosome (RNase complex) (GO:0000178)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
cytoplasmic exosome (RNase complex) (GO:0000177)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor complex (GO:0070110)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear exosome (RNase complex) (GO:0000176)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP complex (GO:0000172)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
laminin-3 complex (GO:0005608)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-2 complex (GO:0005607)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-pyruvate aminotransferase complex (GO:0005969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-1 complex (GO:0005606)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial pyruvate dehydrogenase complex (GO:0005967)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
basement membrane (GO:0005604)	96	0	.50	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase complex (GO:0005965)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
complement component C1 complex (GO:0005602)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase complex (GO:0005964)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
collagen type XIII trimer (GO:0005600)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine cleavage complex (GO:0005960)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
respirasome (GO:0070469)	102	0	.53	-	 < 0.01	1.00E00	1.00E00
SAGA-type complex (GO:0070461)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 1 complex (GO:0000164)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
protein kinase CK2 complex (GO:0005956)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
calcineurin complex (GO:0005955)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase complex (GO:0005952)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
piP-body (GO:0071547)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
pi-body (GO:0071546)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
acrosomal lumen (GO:0043160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle (GO:0045335)	134	0	.70	-	 < 0.01	1.00E00	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
